"","year","State","commercial_sex_act_offense","commercial_sex_act_cleared","commercial_sex_act_under_18","involuntary_servitude_offense","involuntary_servitude_cleared","involuntary_servitude_under_18","total_offenses","total_cleared","total_under_18"
"1",2014,"Alaska","11","3","0","0","0","0","11","3","0"
"2",2014,"Arizona","15","8","0","0","0","0","15","8","0"
"3",2014,"California","0","0","0","0","0","0","0","0","0"
"4",2014,"Colorado","11","0","0","2","0","0","13","0","0"
"5",2014,"Delaware","0","0","0","0","0","0","0","0","0"
"6",2014,"Florida","57","44","0","3","3","0","60","47","0"
"7",2014,"Guam","0","0","0","0","0","0","0","0","0"
"8",2014,"Hawaii","0","0","0","0","0","0","0","0","0"
"9",2014,"Idaho","0","0","0","0","0","0","0","0","0"
"10",2014,"Illinois","50","0","0","17","0","0","67","0","0"
"11",2014,"Indiana","0","0","0","0","0","0","0","0","0"
"12",2014,"Kansas","1","1","0","0","0","0","1","1","0"
"13",2014,"Massachusetts","6","4","0","1","0","0","7","4","0"
"14",2014,"Michigan","2","2","0","1","0","0","3","2","0"
"15",2014,"Minnesota","22","5","0","1","1","0","23","6","0"
"16",2014,"Missouri","5","2","1","1","0","0","6","2","1"
"17",2014,"Mississippi","0","0","0","0","0","0","2","1","0"
"18",2014,"Montana","1","0","0","0","0","0","1","0","0"
"19",2014,"Nevada","0","0","0","0","0","0","0","0","0"
"20",2014,"Ohio","0","0","0","0","0","0","0","0","0"
"21",2014,"Oklahoma","10","7","0","0","0","0","10","7","0"
"22",2014,"Oregon","0","0","0","0","0","0","0","0","0"
"23",2014,"South Dakota","0","0","0","0","0","0","0","0","0"
"24",2014,"Tennessee","29","0","0","1","0","0","30","0","0"
"25",2014,"Texas","78","22","5","113","17","3","191","39","8"
"26",2014,"Utah","0","0","0","0","0","0","0","0","0"
"27",2014,"U. S. Virgin Islands","0","0","0","0","0","0","0","0","0"
"28",2014,"Washington","2","0","0","0","0","0","2","0","0"
"29",2014,"Wyoming","0","0","0","1","0","0","1","0","0"
